category,district,chapter,year,days_to_outcome,disposition
no_info_dismiss,txsbk,13,2006,143,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,147,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,81,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,87,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,87,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,87,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,87,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,132,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,254,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,487,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2006,61,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,1794,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,85,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,1566,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,105,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2007,128,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,79,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,129,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,86,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,52,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,77,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,1133,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,120,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2008,540,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,1010,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,834,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2009,245,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,867,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,809,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,310,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,379,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,51,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,80,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,146,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,16,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,56,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,473,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,475,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,51,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,906,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,121,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,50,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,364,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,63,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,172,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,264,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,276,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,1661,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,72,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,408,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,359,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,106,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,79,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2007,153,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2013,49,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2009,224,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2009,1503,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2009,821,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2012,975,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2013,570,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2014,42,Dismissed for Failure to File Information
no_info_dismiss,wiebk,13,2015,185,Dismissed for Failure to File Information
no_info_dismiss,wiebk,7,2017,47,Dismissed for Failure to File Information
